Date,PMMoV_Nor,IAV_Nor,PMMoV_Sac,IAV_Sac,PMMoV_Los,IAV_Los,PMMoV_South,IAV_South
2022/3/1,-5.691102904,2.698970004,-6.353769606,2.698970004,,,-6.173123867,3.024894875
2022/3/2,-5.818682562,2.698970004,-6.278909933,3.059685226,,,-6.298233085,2.781157285
2022/3/3,-5.951978502,2.698970004,-6.249273823,2.939727779,,,-6.459513568,2.714949778
2022/3/4,,,-6.26044685,2.718655746,,,-5.899638418,3.097680578
2022/3/5,,,-6.228779214,3.015082079,,,-6.018038385,3.106994742
2022/3/6,,,-6.196443481,2.698970004,,,-6.454348044,2.698970004
2022/3/7,,,-6.176897688,2.698970004,,,-6.566575821,2.751945179
2022/3/8,-5.867425063,2.775399756,-6.099465376,3.124093314,,,-6.142658576,3.110592965
2022/3/9,-5.748830335,2.698970004,-6.043534679,2.698970004,,,-6.196312113,2.895918834
2022/3/10,-5.893943161,2.698970004,-6.042368369,3.019915416,,,-6.252000843,2.735660072
2022/3/11,,,-5.945607555,3.16701329,,,-6.101526934,2.919267123
2022/3/12,,,-5.969675,2.980927027,,,-6.335259223,2.936319593
2022/3/13,,,-5.900889519,3.277358056,,,-5.949135116,3.205348307
2022/3/14,,,-5.807785001,3.448783683,,,-6.134063189,2.926672938
2022/3/15,-6.179287742,2.698970004,-5.824658739,3.314424111,,,-5.93864496,3.119165483
2022/3/16,-5.94233121,2.698970004,-5.81240221,3.25838694,,,-5.656611911,3.421403865
2022/3/17,-6.364656556,2.698970004,-5.72035672,3.383271943,,,-5.714548179,3.284166898
2022/3/18,,,-5.698838991,3.343405027,,,-5.967715824,3.100289233
2022/3/19,,,-5.661716675,3.360993384,,,-5.924430507,3.160152847
2022/3/20,,,-5.638581872,3.273515996,,,-6.062736419,2.97425215
2022/3/21,,,-5.619321796,3.426846465,,,-6.118981617,2.85792373
2022/3/22,-5.640582318,2.698970004,-5.585631194,3.542470122,,,-5.898614779,3.14254452
2022/3/23,-6.161801864,2.698970004,-5.642145175,2.698970004,,,-5.759759975,3.295229958
2022/3/24,-5.680636043,3.059740929,-5.632536762,3.314968894,,,-5.798691005,3.17933437
2022/3/25,,,-5.620591452,3.320255246,,,-5.965755485,3.04165323
2022/3/26,,,-5.605370178,3.305722507,,,-5.908040266,3.10223202
2022/3/27,,,-5.5753863,3.412277966,,,-5.846195574,3.183938634
2022/3/28,,,-5.585938843,3.463357974,,,-5.760963563,3.199008919
2022/3/29,-5.736655127,3.166263639,-5.551732975,3.786879218,,,-5.533163309,3.547877315
2022/3/30,-5.642630703,3.272031045,-5.514155536,3.440359518,,,-5.969385818,3.15231865
2022/3/31,,,-5.457991679,3.764522108,,,-5.620762175,3.453605696
2022/4/1,-5.253534195,3.471490355,-5.503644444,3.318739423,,,-5.852992114,3.25407928
2022/4/2,,,-5.558922833,3.166822346,,,-5.913394895,3.153941193
2022/4/3,,,-5.568672777,3.349302981,,,-6.304220228,2.980214945
2022/4/4,,,-5.637134467,3.159561788,,,-6.011522929,3.312262142
2022/4/5,-5.557237418,2.698970004,-5.704679349,3.224638074,,,-5.877630905,3.192278355
2022/4/6,-5.314999094,3.305254423,-5.648356561,3.256223737,,,-5.548602164,3.598507799
2022/4/7,-5.624733474,3.015752416,-5.711735024,3.340807046,,,-5.620871743,3.371856079
2022/4/8,,,-5.680563422,3.486063065,,,-5.480698403,3.600394725
2022/4/9,,,-5.71155712,3.585199423,,,-5.785014536,3.32129666
2022/4/10,,,-5.68478553,3.291974066,,,-5.849586098,3.392185698
2022/4/11,,,-5.62499104,3.585040424,,,-5.666187707,3.452755939
2022/4/12,-6.284927142,2.698970004,-5.577162029,3.524837455,,,-5.484033835,3.547280493
2022/4/13,-4.715255686,2.698970004,-5.53890811,3.767428956,,,-5.531303256,3.57756917
2022/4/14,-5.474483857,3.47459474,-5.495687978,3.572208374,,,-5.303646851,3.680285788
2022/4/15,,,-5.477112586,3.69758744,,,-5.470263207,3.674305744
2022/4/16,,,-5.395389326,3.610886536,,,-5.671531992,3.307273619
2022/4/17,,,-5.347873007,3.485249863,,,-5.569457673,3.443831678
2022/4/18,,,-5.329346251,3.927326322,,,-5.421301614,3.74042143
2022/4/19,-5.189349035,3.613873722,-5.298342326,3.666803445,,,-6.202207047,3.591494046
2022/4/20,-6.216730791,2.698970004,-5.289479453,3.834660377,,,-5.835404386,3.617204309
2022/4/21,-5.467775199,3.391213509,-5.2744263,3.806066438,,,-5.500467025,3.613036008
2022/4/22,,,-5.285040067,3.607453352,,,-5.460448863,3.683456975
2022/4/23,,,-5.320353413,3.840063841,,,-5.66922865,3.690393045
2022/4/24,,,-5.30199787,3.718978499,,,-5.571530806,3.579454403
2022/4/25,,,-5.396907476,3.777915613,-6.261689456,2.843487091,-5.79156072,3.407942234
2022/4/26,-5.445102136,3.43457285,-5.35095309,3.565513922,,,-6.302813623,3.421773
2022/4/27,-5.59385412,3.233410105,-5.37278447,3.641306578,-6.219457123,2.926307064,-5.476442719,3.718225246
2022/4/28,-5.204531002,3.578571008,-5.375285888,3.809144562,,,-5.412929183,3.838089895
2022/4/29,,,-5.398995681,3.747320482,,,-5.449550752,3.745121816
2022/4/30,,,-5.361261008,3.836559664,,,-5.673134206,3.518996286
2022/5/1,,,-5.325799151,3.833264407,,,-5.584462948,3.611929892
2022/5/2,,,-5.332170597,3.782218432,-6.339241395,2.698970004,-5.676001729,3.648862556
2022/5/3,-5.684287603,3.127899343,-5.307536634,4.002501768,,,-5.549414627,3.563769912
2022/5/4,-6.239113456,2.698970004,-5.286881734,3.712155944,-6.270327303,2.948932899,-5.486894038,3.67258144
2022/5/5,-5.368907262,3.714867773,-5.309170089,3.929500258,,,-5.469294582,3.76205688
2022/5/6,,,-5.311852051,3.928106501,,,-5.319896731,3.901628797
2022/5/7,,,-5.242958059,4.014500209,,,-5.423117061,3.674752604
2022/5/8,,,-5.222298563,4.191231628,,,-5.521178023,3.774431802
2022/5/9,,,-5.209752113,3.898680766,-6.334869438,2.85765361,-5.450521084,3.815741896
