Date,Geomean,Log,case
2022/7/1,517261.1723,5.71370988,21270
2022/7/2,422830.9099,5.626166728,12719
2022/7/3,405312.6396,5.607790147,10619
2022/7/4,374449.4544,5.573393202,10883
2022/7/5,316571.2556,5.500471479,33587
2022/7/6,357845.4277,5.553695472,28234
2022/7/7,513053.514,5.710162667,26333
2022/7/8,483717.2115,5.684591541,24327
2022/7/9,575440.2518,5.760000237,14922
2022/7/10,531816.1165,5.725761494,14532
2022/7/11,449119.6917,5.652362097,30879
2022/7/12,466350.7841,5.668712711,27585
2022/7/13,384669.6454,5.585087917,26162
2022/7/14,612852.1046,5.787355682,24391
2022/7/15,473490.105,5.675310907,23481
2022/7/16,505861.3049,5.70403146,14553
2022/7/17,531626.1243,5.725606314,14293
2022/7/18,533216.8176,5.726903839,29838
2022/7/19,553669.5794,5.743250662,25442
2022/7/20,500093.3399,5.699051071,24191
2022/7/21,530443.7803,5.724639361,22277
2022/7/22,474605.8445,5.676333082,21423
2022/7/23,395232.7839,5.596852961,12899
2022/7/24,434521.6512,5.638011421,12631
2022/7/25,438316.0529,5.641787377,27165
2022/7/26,429550.8347,5.633014567,22771
2022/7/27,353543.3271,5.548442645,21255
2022/7/28,398283.9899,5.600192849,18771
2022/7/29,369777.7549,5.567940781,18037
2022/7/30,403209.8477,5.60553113,10899
2022/7/31,262893.9074,5.419780521,10615
2022/8/1,268669.2194,5.429217914,21738
2022/8/2,351150.2373,5.545492966,18811
2022/8/3,309391.2634,5.490508046,17252
2022/8/4,286519.6568,5.457154422,15766
2022/8/5,264000.2471,5.421604333,14892
2022/8/6,352848.4359,5.547588197,9309
2022/8/7,238925.1804,5.378261923,9115
2022/8/8,317362.8747,5.501556121,18690
2022/8/9,263829.7436,5.421323755,15621
2022/8/10,402366.9667,5.604622319,14912
2022/8/11,284559.5205,5.45417312,13419
2022/8/12,224454.0852,5.351127514,12339
2022/8/13,279138.2707,5.445819384,7852
2022/8/14,184410.8581,5.265786489,7914
2022/8/15,243795.6878,5.38702602,15375
2022/8/16,234459.0405,5.370066983,13504
2022/8/17,293739.5315,5.467962398,12513
2022/8/18,488577.2359,5.688933228,11467
2022/8/19,251929.3852,5.401278827,10674
2022/8/20,229596.6473,5.360965542,6949
2022/8/21,248446.3613,5.395232641,6953
2022/8/22,234611.3842,5.370349082,14223
2022/8/23,273609.2068,5.437130707,11878
2022/8/24,191191.5595,5.281468716,10818
2022/8/25,223571.3116,5.349416075,9752
2022/8/26,205976.9809,5.313818688,9342
2022/8/27,221132.7672,5.344653101,5889
2022/8/28,164350.4341,5.215770856,5812
2022/8/29,151662.8126,5.180879106,11668
2022/8/30,201940.1338,5.30522264,9870
2022/8/31,149991.6081,5.176066961,8943
2022/9/1,196946.5015,5.294348271,7771
2022/9/2,182348.6985,5.260902668,6944
2022/9/3,121349.7216,5.084038784,4313
2022/9/4,212739.4822,5.327848098,3903
2022/9/5,173775.4656,5.239988461,4223
2022/9/6,258818.2538,5.412994903,10193
2022/9/7,250610.5731,5.39899939,7580
2022/9/8,203511.5313,5.308589022,6488
2022/9/9,125767.0421,5.099566847,5850
2022/9/10,166407.8552,5.221173823,3810
2022/9/11,157920.7619,5.198439231,3764
2022/9/12,160879.5094,5.206500733,7306
2022/9/13,164523.4461,5.216227798,6134
2022/9/14,189347.9875,5.277260694,5629
2022/9/15,178238.9582,5.251002635,5188
2022/9/16,161125.1315,5.207163285,4758
2022/9/17,150659.6524,5.177996961,3148
2022/9/18,109334.4101,5.038756866,3148
2022/9/19,118286.1748,5.072933987,6121
2022/9/20,92872.34718,4.967886422,5432
2022/9/21,54592.9718,4.737136736,4937
2022/9/22,53479.952,4.728191009,4591
2022/9/23,113690.707,5.055724967,4442
2022/9/24,94445.51702,4.975181348,2859
2022/9/25,73490.8226,4.866233109,2968
2022/9/26,61446.88073,4.788499841,5821
2022/9/27,74345.57941,4.87125515,4954
2022/9/28,101066.1466,5.004605707,4895
2022/9/29,106081.0412,5.025637774,4398
2022/9/30,139020.8303,5.143079878,4013
2022/10/1,136871.8303,5.136314075,2639
2022/10/2,106617.5795,5.027828819,2585
2022/10/3,107849.8623,5.032819595,5037
2022/10/4,126008.8654,5.100401101,4294
2022/10/5,140052.6496,5.14629133,4028
2022/10/6,149222.3895,5.17383399,3631
2022/10/7,101251.9958,5.005403592,3570
2022/10/8,84134.75587,4.924975439,2396
2022/10/9,101658.272,5.007142723,2266
2022/10/10,93036.98314,4.968655619,4011
2022/10/11,108813.7248,5.036683677,3833
2022/10/12,116685.1501,5.067015589,3731
2022/10/13,144365.4976,5.159463412,3411
2022/10/14,93941.42588,4.972857148,3226
2022/10/15,106692.7102,5.028134747,2186
2022/10/16,83443.03789,4.921390107,2004
2022/10/17,99583.98918,4.998189519,4300
2022/10/18,63971.85157,4.805988921,3659
2022/10/19,110791.1697,5.044505147,3552
2022/10/20,117735.6696,5.070908058,3362
2022/10/21,130557.3347,5.115801275,3038
2022/10/22,102368.5943,5.01016674,1964
2022/10/23,94623.08291,4.975997094,1997
2022/10/24,116052.1015,5.064653009,4206
2022/10/25,124596.8874,5.095507193,3797
2022/10/26,90746.28789,4.957828869,3735
2022/10/27,125622.6854,5.099068073,3548
2022/10/28,121370.912,5.084114615,3491
2022/10/29,127790.564,5.106498787,2361
2022/10/30,186024.9733,5.269571251,2351
2022/10/31,170075.5194,5.230641806,4820
2022/11/1,203992.146,5.309613447,4612
2022/11/2,202325.4929,5.306050607,4532
2022/11/3,213194.1057,5.328775193,4428
2022/11/4,165372.6634,5.218463721,4230
2022/11/5,168829.6515,5.227448724,2838
2022/11/6,165030.016,5.217562942,3182
2022/11/7,190466.482,5.27981856,6307
2022/11/8,176795.8934,5.247472173,5257
2022/11/9,128063.5013,5.107425372,5458
2022/11/10,220085.8657,5.342592152,5257
2022/11/11,183894.4971,5.264568734,4495
2022/11/12,186958.1187,5.271744329,3510
2022/11/13,166083.0377,5.22032528,3733
2022/11/14,181478.8536,5.258826027,7620
2022/11/15,244682.2424,5.388602452,7096
2022/11/16,199699.4467,5.300376862,6708
2022/11/17,239733.6585,5.379729013,6825
2022/11/18,220166.9969,5.342752219,6713
2022/11/19,228305.8995,5.358517134,4343
2022/11/20,301993.7747,5.47999799,4559
2022/11/21,198650.6216,5.298089928,9642
2022/11/22,265872.9613,5.424674173,8883
2022/11/23,306214.9151,5.48602634,7957
2022/11/24,244253.8931,5.387841495,2643
2022/11/25,452223.747,5.655353364,8077
2022/11/26,404032.5186,5.606416321,6622
2022/11/27,419835.5452,5.623079205,7679
2022/11/28,444913.6543,5.648275734,16595
2022/11/29,573937.1529,5.758864339,13644
2022/11/30,405122.7902,5.607586675,12999
2022/12/1,509800.2208,5.707400019,11284
2022/12/2,561583.4021,5.749414263,10382
2022/12/3,630966.5333,5.800006325,6804
2022/12/4,529364.4848,5.723754801,7069
2022/12/5,511525.8912,5.708867621,13818
2022/12/6,501917.5427,5.700632375,11979
2022/12/7,553131.1602,5.742828125,11028
2022/12/8,552370.2186,5.742230255,10078
2022/12/9,498282.2665,5.697475431,9512
2022/12/10,508705.5949,5.706466514,6023
2022/12/11,452945.6533,5.656046096,5751
2022/12/12,416795.1594,5.619922666,12444
2022/12/13,382426.1801,5.582547616,10631
2022/12/14,555373.2751,5.744584977,10028
2022/12/15,692547.2466,5.840449407,8992
2022/12/16,474576.3226,5.676306067,8077
2022/12/17,617212.1885,5.790434494,5431
2022/12/18,401180.5169,5.603339834,5184
2022/12/19,399671.4572,5.601703134,11293
2022/12/20,327398.4046,5.515076559,9973
2022/12/21,491192.5134,5.691251739,9418
2022/12/22,422965.9207,5.626305377,8991
2022/12/23,381649.2897,5.581664458,7922
2022/12/24,367587.2792,5.565360474,4066
2022/12/25,520385.9281,5.716325544,2523
2022/12/26,456455.6718,5.659398608,8553
2022/12/27,433454.6433,5.63694366,11354
2022/12/28,608685.7434,5.78439313,10275
2022/12/29,442995.1784,5.646398999,9060
2022/12/30,412354.644,5.61527089,8090
2022/12/31,265261.9406,5.423674943,4212
2023/1/1,235881.2532,5.372693426,2558
2023/1/2,407682.8434,5.610322435,7200
2023/1/3,253900.5688,5.404663674,8968
2023/1/4,275191.2431,5.43963461,7017
2023/1/5,334712.8477,5.524672383,5917
2023/1/6,275902.6046,5.4407558,6003
2023/1/7,432124.7995,5.635609191,3873
2023/1/8,277065.227,5.442582023,3371
2023/1/9,267214.3394,5.42685976,5893
2023/1/10,290992.898,5.46388239,4758
2023/1/11,291814.3788,5.465106687,4674
2023/1/12,152502.5737,5.183277173,4134
2023/1/13,278960.0581,5.445542025,3545
2023/1/14,163237.2662,5.212819313,2283
2023/1/15,210315.9436,5.322872197,2099
2023/1/16,118061.8778,5.072109687,3399
2023/1/17,161543.1909,5.208288657,4074
2023/1/18,138342.6076,5.140955957,3625
2023/1/19,239584.5182,5.379458751,3310
2023/1/20,122072.8947,5.086619243,2999
2023/1/21,141626.3364,5.151144021,2030
2023/1/22,173763.2445,5.239957917,2032
2023/1/23,178749.2448,5.252244216,3864
2023/1/24,157846.4725,5.198234881,3616
2023/1/25,157741.4169,5.197945738,3460
2023/1/26,242051.1959,5.383907233,3187
2023/1/27,190147.0255,5.279089536,3203
2023/1/28,168098.0857,5.225562768,2177
2023/1/29,175024.6627,5.243099249,2145
2023/1/30,166697.3724,5.221928754,4373
2023/1/31,231164.852,5.363921802,3944
2023/2/1,208728.4268,5.3195816,3757
2023/2/2,331051.3241,5.519895329,3566
2023/2/3,232254.7207,5.36596455,3335
2023/2/4,365770.437,5.563208601,2364
2023/2/5,327173.5079,5.51477813,2400
2023/2/6,189644.0291,5.277939173,4957
2023/2/7,352121.2939,5.546692289,4210
2023/2/8,316130.9372,5.499866999,4005
2023/2/9,288735.561,5.460500275,3768
2023/2/10,335160.9953,5.525253471,3619
2023/2/11,201169.2614,5.303561621,2349
2023/2/12,211899.8044,5.326130556,2334
2023/2/13,256442.085,5.408989299,4585
2023/2/14,197193.1608,5.294891848,3790
2023/2/15,267900.8433,5.427974081,3960
2023/2/16,376756.7733,5.576061069,3659
2023/2/17,343870.0709,5.536394378,3327
2023/2/18,311423.9738,5.493352042,2242
2023/2/19,471067.543,5.673083182,2333
2023/2/20,292334.6684,5.465880322,3535
2023/2/21,174841.2943,5.242644013,4769
2023/2/22,290773.8338,5.463555323,3922
2023/2/23,319692.7395,5.504732773,3680
2023/2/24,172814.969,5.237581358,3043
2023/2/25,263417.2284,5.420644176,2079
2023/2/26,279943.0286,5.447069657,2134
2023/2/27,290724.8318,5.463482128,3952
2023/2/28,461366.9379,5.664046469,3687
2023/3/1,267050.4191,5.426593264,3273
2023/3/2,293739.5679,5.467962452,3051
2023/3/3,363601.1049,5.560625194,2871
2023/3/4,354144.2678,5.549180217,1934
2023/3/5,314699.6502,5.49789626,1828
2023/3/6,331255.9839,5.520163732,3612
2023/3/7,273164.9292,5.436424941,3241
2023/3/8,250715.7786,5.399181667,3052
2023/3/9,373906.1782,5.572762641,2970
2023/3/10,216672.477,5.335803748,2492
2023/3/11,231898.5007,5.365297941,1853
2023/3/12,389622.958,5.590644539,1610
2023/3/13,282881.3093,5.451604254,3363
2023/3/14,235432.0163,5.371865522,2652
2023/3/15,326225.4363,5.513517821,2520
2023/3/16,363071.7456,5.559992453,2305
2023/3/17,238614.3311,5.377696524,2189
2023/3/18,276775.5558,5.442127732,1393
2023/3/19,199122.5759,5.299120502,1336
2023/3/20,123005.4939,5.089924509,2473
2023/3/21,183952.5085,5.264705715,2081
2023/3/22,129751.0645,5.11311093,2025
2023/3/23,172167.4636,5.235951081,1943
2023/3/24,281264.1206,5.449114335,1820
2023/3/25,245231.6019,5.389576435,1147
2023/3/26,326252.4502,5.513553782,1210
2023/3/27,258110.7289,5.411806057,2107
2023/3/28,196801.8538,5.294029185,1851
2023/3/29,175784.0833,5.244979548,1993
2023/3/30,232607.4931,5.366623701,1796
2023/3/31,126610.5767,5.102469987,1701
2023/4/1,154546.769,5.18905993,1119
2023/4/2,211172.2635,5.324636875,1102
2023/4/3,123364.227,5.091189242,2106
2023/4/4,180591.4167,5.256697105,1820
2023/4/5,182724.1513,5.261795953,1765
2023/4/6,236740.2196,5.374272046,1630
2023/4/7,226893.1031,5.355821295,1507
2023/4/8,205977.9501,5.313820732,1150
2023/4/9,198687.9593,5.298171549,1024
2023/4/10,192897.8862,5.285327469,2272
2023/4/11,218387.111,5.339227003,1841
2023/4/12,196813.5986,5.294055102,1766
2023/4/13,138853.706,5.142557476,1676
2023/4/14,204335.7031,5.310344257,1507
2023/4/15,119757.9093,5.078304206,1082
2023/4/16,142315.1118,5.153251018,963
2023/4/17,119571.0566,5.077626067,1890
2023/4/18,126648.4677,5.10259994,1646
2023/4/19,129218.6485,5.111325194,1507
2023/4/20,115810.8376,5.063749203,1466
2023/4/21,85556.25564,4.932251769,1329
2023/4/22,135657.7868,5.132444727,951
2023/4/23,145620.2126,5.163221661,913
2023/4/24,113495.2844,5.054977817,1818
2023/4/25,99349.1301,4.997164069,1608
2023/4/26,144389.2674,5.159534913,1556
2023/4/27,116948.8822,5.067996075,1395
2023/4/28,135174.9924,5.130896354,1296
2023/4/29,200780.2139,5.302720913,817
2023/4/30,139769.5625,5.145412606,885
2023/5/1,111916.9557,5.048895888,1470
2023/5/2,123385.5288,5.091264227,1413
2023/5/3,141990.0301,5.152257851,1354
2023/5/4,175886.028,5.245231341,1190
2023/5/5,169495.3212,5.229157714,1090
2023/5/6,116738.2987,5.06721336,761
2023/5/7,188079.9176,5.274342426,864
2023/5/8,117069.9715,5.068445513,1570
2023/5/9,146664.8508,5.166326045,1425
2023/5/10,131612.4782,5.119297067,1320
2023/5/11,166187.0419,5.220597157,1319
2023/5/12,174987.1075,5.243006052,1084
2023/5/13,102914.5316,5.012476702,728
2023/5/14,146706.1717,5.166448384,678
2023/5/15,106501.215,5.027354562,1410
2023/5/16,113898.6444,5.056518555,1160
2023/5/17,148328.3886,5.171224279,1225
2023/5/18,123411.8976,5.09135703,1107
2023/5/19,117499.5276,5.07003612,974
2023/5/20,104563.9259,5.019381881,652
2023/5/21,117016.1489,5.068245801,688
2023/5/22,106313.4481,5.026588204,1156
2023/5/23,95888.78115,4.981767798,1058
2023/5/24,116701.1121,5.067074995,1054
2023/5/25,89139.19586,4.950068712,934
2023/5/26,131278.1904,5.118192581,917
2023/5/27,131860.7531,5.120115552,588
2023/5/28,118708.822,5.074482995,605
2023/5/29,75715.81203,4.879186584,670
2023/5/30,126835.9772,5.103242459,1282
2023/5/31,93720.25864,4.971833478,1040
2023/6/1,82583.22948,4.916891862,958
2023/6/2,223913.0995,5.350079502,858
2023/6/3,97041.06018,4.986955533,592
2023/6/4,76934.93255,4.886123577,637
2023/6/5,81503.28343,4.911175105,1116
2023/6/6,88881.86535,4.94881316,1085
2023/6/7,121076.2261,5.083058876,940
2023/6/8,100893.4743,5.003863077,854
2023/6/9,101475.8194,5.006362567,807
2023/6/10,136170.6911,5.134083642,434
2023/6/11,67257.23656,4.827739019,448
2023/6/12,100920.4111,5.003979011,1002
2023/6/13,104031.633,5.017165416,994
2023/6/14,66879.773,4.82529479,846
2023/6/15,144936.266,5.161177068,808
2023/6/16,55776.80842,4.74645366,787
2023/6/17,51366.50397,4.710680008,576
2023/6/18,66633.11789,4.823690135,514
2023/6/19,50714.10658,4.705128779,903
2023/6/20,69495.76228,4.841958323,892
2023/6/21,94677.57676,4.976247134,854
2023/6/22,106840.9461,5.028737725,853
2023/6/23,91535.28664,4.961588546,838
2023/6/24,90011.92001,4.954300026,573
2023/6/25,140352.3357,5.147219645,510
2023/6/26,98695.68968,4.994298186,1088
2023/6/27,53283.31112,4.726591205,892
2023/6/28,95877.98252,4.981718887,978
2023/6/29,138627.9434,5.14185078,926
2023/6/30,102942.9411,5.012596572,827
2023/7/1,72906.93527,4.862768843,637
2023/7/2,54941.63183,4.739901554,583
2023/7/3,80820.93685,4.90752388,967
2023/7/4,121799.3136,5.085644841,556
2023/7/5,82347.03533,4.915647968,1094
